f_weight f_lept1_pt f_lept1_eta f_lept1_phi f_lept2_pt f_lept2_eta f_lept2_phi f_lept3_pt f_lept3_eta f_lept3_phi f_lept4_pt f_lept4_eta f_lept4_phi f_jet1_pt f_jet1_eta f_jet1_phi f_jet2_pt f_jet2_eta f_jet2_phi 
1.0 23.2845191956 -1.15224575996 1.1043138504 19.8112010956 0.593315303326 -2.52432465553 29.4731655121 -1.06731951237 2.95839619637 63.4530105591 -0.481865912676 3.06727933884 81.8859786987 -1.08945477009 -0.611178100109 35.1302947998 2.65952539444 -1.04769814014 
1.0 94.2452468872 -1.62316453457 2.56498837471 20.5130901337 -0.245590180159 0.922332644463 39.7791595459 -1.20514786243 3.13959670067 13.35542202 -1.84029126167 2.89833927155 58.4903030396 0.644781649113 -0.624576628208 31.7254142761 0.142041802406 -0.964791297913 
1.0 27.2807006836 1.03095638752 -2.4857776165 18.6573143005 -0.740661144257 1.34028756618 20.866519928 0.233982250094 0.988554060459 7.80148172379 -0.257262945175 1.84553599358 35.1685523987 -1.66853690147 -2.62297677994 -999.0 -999.0 -999.0 
1.0 34.5680923462 0.35041937232 2.5979142189 57.8419837952 -0.171650961041 -0.901250123978 53.0950508118 1.19862067699 2.57613158226 28.1241416931 0.104395069182 -0.191303744912 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 38.535358429 -0.693850874901 3.01388883591 58.6502876282 -0.389047533274 0.611470580101 42.5366706848 -2.03200078011 -1.91888904572 5.70635414124 1.5836994648 -0.445328742266 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 66.6960449219 0.32457202673 0.8986774683 61.384059906 0.0796616151929 2.46028280258 55.6000556946 -2.07626271248 -1.35723459721 31.3733596802 -2.40114307404 -1.71687662601 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 39.9444084167 -1.14174127579 0.165936842561 41.7089538574 -0.15164899826 -3.06032109261 43.9498443604 -0.140696197748 -1.96349179745 41.457447052 -0.614123284817 1.02991998196 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 56.749710083 -1.30400848389 -2.47672820091 37.231502533 -0.384687781334 -0.205584615469 27.0784053802 -0.92099148035 1.38066840172 11.6108379364 -0.122266158462 0.52410620451 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 55.0761375427 0.88267660141 2.03982424736 53.8687705994 0.965535342693 -0.0659777000546 47.6126365662 2.30534911156 -2.54774570465 31.3892536163 0.921413004398 0.282589733601 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 40.8874702454 -0.131750434637 -2.95213937759 51.7727890015 -0.60040128231 0.721848905087 19.6512775421 -0.715526580811 -1.76388370991 7.5322136879 -1.08104550838 -0.686554133892 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
